legacy_county_code,legacy_town_code,county_id,town_id,city,district
Z,01,09007,09007010,連江縣,南竿鄉
Z,02,09007,09007020,連江縣,北竿鄉
Z,03,09007,09007030,連江縣,莒光鄉
Z,04,09007,09007040,連江縣,東引鄉
W,01,09020,09020010,金門縣,金城鎮
W,04,09020,09020020,金門縣,金沙鎮
W,03,09020,09020030,金門縣,金湖鎮
W,02,09020,09020040,金門縣,金寧鄉
W,05,09020,09020050,金門縣,烈嶼鄉
W,06,09020,09020060,金門縣,烏坵鄉
G,01,10002,10002010,宜蘭縣,宜蘭市
G,06,10002,10002020,宜蘭縣,羅東鎮
G,09,10002,10002030,宜蘭縣,蘇澳鎮
G,02,10002,10002040,宜蘭縣,頭城鎮
G,03,10002,10002050,宜蘭縣,礁溪鄉
G,04,10002,10002060,宜蘭縣,壯圍鄉
G,05,10002,10002070,宜蘭縣,員山鄉
G,08,10002,10002080,宜蘭縣,冬山鄉
G,07,10002,10002090,宜蘭縣,五結鄉
G,10,10002,10002100,宜蘭縣,三星鄉
G,11,10002,10002110,宜蘭縣,大同鄉
G,12,10002,10002120,宜蘭縣,南澳鄉
J,05,10004,10004010,新竹縣,竹北市
J,02,10004,10004020,新竹縣,竹東鎮
J,04,10004,10004030,新竹縣,新埔鎮
J,03,10004,10004040,新竹縣,關西鎮
J,06,10004,10004050,新竹縣,湖口鄉
J,09,10004,10004060,新竹縣,新豐鄉
J,10,10004,10004070,新竹縣,芎林鄉
J,08,10004,10004080,新竹縣,橫山鄉
J,12,10004,10004090,新竹縣,北埔鄉
J,11,10004,10004100,新竹縣,寶山鄉
J,13,10004,10004110,新竹縣,峨眉鄉
J,14,10004,10004120,新竹縣,尖石鄉
J,15,10004,10004130,新竹縣,五峰鄉
K,01,10005,10005010,苗栗縣,苗栗市
K,02,10005,10005020,苗栗縣,苑裡鎮
K,03,10005,10005030,苗栗縣,通霄鎮
K,09,10005,10005040,苗栗縣,竹南鎮
K,10,10005,10005050,苗栗縣,頭份市
K,12,10005,10005060,苗栗縣,後龍鎮
K,16,10005,10005070,苗栗縣,卓蘭鎮
K,15,10005,10005080,苗栗縣,大湖鄉
K,04,10005,10005090,苗栗縣,公館鄉
K,05,10005,10005100,苗栗縣,銅鑼鄉
K,14,10005,10005110,苗栗縣,南庄鄉
K,08,10005,10005120,苗栗縣,頭屋鄉
K,06,10005,10005130,苗栗縣,三義鄉
K,07,10005,10005140,苗栗縣,西湖鄉
K,11,10005,10005150,苗栗縣,造橋鄉
K,13,10005,10005160,苗栗縣,三灣鄉
K,17,10005,10005170,苗栗縣,獅潭鄉
K,18,10005,10005180,苗栗縣,泰安鄉
N,01,10007,10007010,彰化縣,彰化市
N,02,10007,10007020,彰化縣,鹿港鎮
N,03,10007,10007030,彰化縣,和美鎮
N,09,10007,10007040,彰化縣,線西鄉
N,10,10007,10007050,彰化縣,伸港鄉
N,11,10007,10007060,彰化縣,福興鄉
N,12,10007,10007070,彰化縣,秀水鄉
N,13,10007,10007080,彰化縣,花壇鄉
N,14,10007,10007090,彰化縣,芬園鄉
N,05,10007,10007100,彰化縣,員林市
N,06,10007,10007110,彰化縣,溪湖鎮
N,07,10007,10007120,彰化縣,田中鎮
N,15,10007,10007130,彰化縣,大村鄉
N,16,10007,10007140,彰化縣,埔鹽鄉
N,17,10007,10007150,彰化縣,埔心鄉
N,18,10007,10007160,彰化縣,永靖鄉
N,19,10007,10007170,彰化縣,社頭鄉
N,20,10007,10007180,彰化縣,二水鄉
N,04,10007,10007190,彰化縣,北斗鎮
N,08,10007,10007200,彰化縣,二林鎮
N,21,10007,10007210,彰化縣,田尾鄉
N,22,10007,10007220,彰化縣,埤頭鄉
N,23,10007,10007230,彰化縣,芳苑鄉
N,24,10007,10007240,彰化縣,大城鄉
N,25,10007,10007250,彰化縣,竹塘鄉
N,26,10007,10007260,彰化縣,溪州鄉
M,01,10008,10008010,南投縣,南投市
M,02,10008,10008020,南投縣,埔里鎮
M,03,10008,10008030,南投縣,草屯鎮
M,04,10008,10008040,南投縣,竹山鎮
M,05,10008,10008050,南投縣,集集鎮
M,06,10008,10008060,南投縣,名間鄉
M,07,10008,10008070,南投縣,鹿谷鄉
M,08,10008,10008080,南投縣,中寮鄉
M,09,10008,10008090,南投縣,魚池鄉
M,10,10008,10008100,南投縣,國姓鄉
M,11,10008,10008110,南投縣,水里鄉
M,12,10008,10008120,南投縣,信義鄉
M,13,10008,10008130,南投縣,仁愛鄉
P,01,10009,10009010,雲林縣,斗六市
P,02,10009,10009020,雲林縣,斗南鎮
P,03,10009,10009030,雲林縣,虎尾鎮
P,04,10009,10009040,雲林縣,西螺鎮
P,05,10009,10009050,雲林縣,土庫鎮
P,06,10009,10009060,雲林縣,北港鎮
P,07,10009,10009070,雲林縣,古坑鄉
P,08,10009,10009080,雲林縣,大埤鄉
P,09,10009,10009090,雲林縣,莿桐鄉
P,10,10009,10009100,雲林縣,林內鄉
P,11,10009,10009110,雲林縣,二崙鄉
P,12,10009,10009120,雲林縣,崙背鄉
P,13,10009,10009130,雲林縣,麥寮鄉
P,14,10009,10009140,雲林縣,東勢鄉
P,15,10009,10009150,雲林縣,褒忠鄉
P,16,10009,10009160,雲林縣,臺西鄉
