raw_date_complete,transaction_year,county,town,building_type,usage
10109,99,臺北市,文山區,住宅大樓(11層含以上有電梯),住家用
50520,101,臺北市,北投區,透天厝,住家用
60101,101,基隆市,中山區,透天厝,住家用
50101,101,臺南市,歸仁區,透天厝,住家用
60400,101,高雄市,鼓山區,透天厝,住家用
20303,101,新北市,淡水區,透天厝,住家用
10103,101,桃園縣,大溪區,透天厝,住家用
11110,101,桃園縣,蘆竹區,透天厝,住家用
10101,101,金門縣,烈嶼鄉,透天厝,住家用
10609,102,臺北市,北投區,公寓(5樓含以下無電梯),住家用
11209,102,臺北市,士林區,店面(店鋪),住家用
10506,102,臺北市,士林區,透天厝,住家用
10112,102,臺中市,大里區,透天厝,住家用
10210,102,臺南市,東區,住宅大樓(11層含以上有電梯),住家用
80501,102,臺南市,善化區,店面(店鋪),住商用
10101,102,臺南市,中西區,透天厝,住家用
80101,102,臺南市,麻豆區,其他,住家用
30501,102,臺南市,佳里區,其他,住商用
60101,102,臺南市,中西區,透天厝,住商用
50110,102,臺南市,永康區,透天厝,住家用
50101,102,臺南市,中西區,透天厝,住商用
11020,102,新北市,淡水區,透天厝,住家用
30705,102,新北市,淡水區,其他,住家用
11020,102,新北市,淡水區,其他,住家用
30308,102,新北市,石門區,透天厝,住家用
20305,102,新北市,新莊區,透天厝,住家用
20303,102,新北市,淡水區,透天厝,住家用
21201,102,桃園縣,蘆竹區,透天厝,住家用
10101,102,桃園縣,大溪區,其他,住家用
90505,102,桃園縣,桃園區,透天厝,商業用
60101,102,桃園縣,龍潭區,透天厝,住家用
21201,102,桃園縣,蘆竹區,透天厝,住家用
70101,102,南投縣,埔里鎮,店面(店鋪),住商用
80101,102,彰化縣,彰化市,店面(店鋪),住家用
70129,102,嘉義縣,民雄鄉,透天厝,住家用
10103,102,花蓮縣,壽豐鄉,透天厝,住家用
50809,103,臺北市,士林區,透天厝,住家用
40301,103,臺南市,玉井區,農舍,住家用
20101,103,臺南市,中西區,透天厝,商業用
60101,103,臺南市,中西區,透天厝,商業用
10101,103,臺南市,中西區,透天厝,商業用
30101,103,臺南市,永康區,透天厝,住家用
60101,103,臺南市,中西區,透天厝,住家用
60101,103,臺南市,中西區,透天厝,商業用
10101,103,新北市,新莊區,其他,住家用
30405,103,桃園縣,蘆竹區,透天厝,住家用
91201,103,桃園縣,龜山區,農舍,住家用
21101,103,新竹縣,新埔鎮,透天厝,住家用
30101,103,彰化縣,彰化市,店面(店鋪),住家用
70205,103,雲林縣,西螺鎮,透天厝,住家用
