transaction_year,row_count,row_share
109,101985,0.20607859619628033
110,81018,0.16371109189224142
108,75246,0.15204775260465078
107,47191,0.09535769998625941
111,34414,0.06953952845515313
106,28510,0.057609459994665414
102,27739,0.05605151914388018
103,21517,0.04347887585777677
112,19184,0.038764639794376055
105,16010,0.03235101559153256
101,15064,0.030439456519103465
104,14486,0.029271506049902602
100,4832,0.009763904268475036
113,4387,0.008864703647723507
99,2704,0.005463906693285699
98,441,0.0008911179185425272
97,79,0.00015963336862779965
11,22,4.445486214951383e-05
96,16,3.2330808836010054e-05
10,7,1.4144728865754398e-05
14,7,1.4144728865754398e-05
95,4,8.082702209002514e-06
13,3,6.062026656751886e-06
15,3,6.062026656751886e-06
9,2,4.041351104501257e-06
12,2,4.041351104501257e-06
16,2,4.041351104501257e-06
1,1,2.0206755522506284e-06
2,1,2.0206755522506284e-06
3,1,2.0206755522506284e-06
18,1,2.0206755522506284e-06
21,1,2.0206755522506284e-06
60,1,2.0206755522506284e-06
84,1,2.0206755522506284e-06
89,1,2.0206755522506284e-06
94,1,2.0206755522506284e-06
