column_name,rank,value,row_count,row_share
story,1,5.0,674085,0.2142312325005641
story,2,4.0,609861,0.19382017651190359
story,3,2.0,436999,0.13888283283490066
story,4,3.0,398159,0.12653907637937664
story,5,7.0,201646,0.06408519861561784
story,6,9.0,122301,0.038868531366298746
story,7,1.0,119132,0.03786139016631019
story,8,8.0,108464,0.034470988676414974
story,9,6.0,104856,0.033324328704954345
story,10,10.0,83029,0.02638748081219629
story,11,24.0,56661,0.018007455832297802
story,12,22.0,36756,0.011681439554048429
story,13,23.0,35986,0.011436725535748904
story,14,21.0,31859,0.010125121959746132
story,15,29.0,22781,0.007240039027118762
story,16,26.0,18970,0.006028863541742808
story,17,27.0,18697,0.005942101298891159
story,18,28.0,18335,0.005827053929249046
story,19,25.0,16836,0.005350656119598415
story,20,<PANDAS_NA>,8229,0.0026152618916711425
story,21,32.0,4244,0.0013487873943677639
story,22,35.0,3290,0.0010455962600070554
story,23,31.0,2209,0.0007020432031475943
story,24,36.0,2134,0.000678207422144394
story,25,33.0,2077,0.0006600922285819617
story,26,37.0,1913,0.000607971320788297
story,27,41.0,1537,0.0004884746053589192
story,28,34.0,1266,0.0004023479833340219
story,29,38.0,1215,0.00038613965225184566
story,30,39.0,1088,0.0003457777297530931
manage,1,有,1923539,0.6113207247348666
manage,2,無,1222991,0.38867927526513335
parking_type,1,坡道平面,1070585,0.8030576025251738
parking_type,2,坡道機械,140738,0.1055691242303861
parking_type,3,一樓平面,50348,0.03776658945523938
parking_type,4,升降機械,38569,0.02893103179270532
parking_type,5,其他,13677,0.010259268371719015
parking_type,6,升降平面,11189,0.008392992162840101
parking_type,7,塔式車位,7395,0.005547070966503043
parking_type,8,<BLANK_STRING>,635,0.0004763204954333241
usage_type,1,住,2367791,0.551272007135505
usage_type,2,<BLANK_STRING>,872554,0.20314909335921685
usage_type,3,商,538516,0.1253779561602285
usage_type,4,其他,297004,0.0691488358589392
usage_type,5,農,141470,0.032937219057535015
usage_type,6,工,77806,0.018114888428575452
nonurban_type,1,<BLANK_STRING>,3438525,0.8005616113650286
nonurban_type,2,特定農業區,288547,0.0671798667377858
nonurban_type,3,鄉村區,212661,0.04951199506605255
nonurban_type,4,山坡地保育區,158842,0.03698178942204691
nonurban_type,5,一般農業區,147370,0.034310864299914715
nonurban_type,6,工業區,25776,0.0060011999606066485
nonurban_type,7,風景區,7311,0.0017021559944132218
nonurban_type,8,森林區,4751,0.001106133651956944
nonurban_type,9,特定專用區,4564,0.001062596082410333
nonurban_type,10,國家公園區,3397,0.0007908937098921781
nonurban_type,11,河川區,3268,0.0007608597715418423
nonurban_type,12,住宅區,98,2.281648029715439e-05
nonurban_type,13,商業區,15,3.4923184128297534e-06
nonurban_type,14,農業區,12,2.793854730263803e-06
nonurban_type,15,保護區,2,4.6564245504396714e-07
nonurban_type,16,都市風景區,1,2.3282122752198357e-07
nonurban_type,17,道路,1,2.3282122752198357e-07
nonurban_categ,1,<PANDAS_NA>,4295141,1.0
