column_name,rank,value,row_count,row_share
room,1,3,1205896,0.38324630624847056
room,2,2,607278,0.19299927221415336
room,3,4,574104,0.18245622956081778
room,4,1,258895,0.08227952697098073
room,5,5,209883,0.06670300299059599
room,6,0,184683,0.058694180573520674
room,7,6,60210,0.01913536498936924
room,8,7,17668,0.005615074383527251
room,9,8,9948,0.0031615779922644946
room,10,9,4355,0.0013840643502525004
room,11,10,3205,0.001018582374870095
room,12,12,1700,0.000540277702739208
room,13,11,1639,0.0005208912675232717
room,14,14,791,0.0002513880369804197
room,15,13,731,0.00023231941217785943
room,16,15,696,0.00022119604770969926
room,17,16,668,0.00021229735613517112
room,18,18,471,0.0001496887047000982
room,19,20,465,0.00014778184221984217
room,20,17,328,0.00010424181558732953
room,21,19,289,9.184720946566536e-05
room,22,21,250,7.945260334400117e-05
room,23,24,211,6.705799722233699e-05
room,24,22,195,6.197303060832092e-05
room,25,23,146,4.6400320352896686e-05
room,26,30,128,4.06797329121286e-05
room,27,25,119,3.7819439191744555e-05
room,28,28,115,3.6548197538240536e-05
room,29,27,105,3.3370093404480494e-05
room,30,32,101,3.2098851750976475e-05
hall,1,2,2118651,0.6733293501094857
hall,2,1,602251,0.1914016392661122
hall,3,0,255471,0.0811913441155813
hall,4,3,146647,0.04660594369035096
hall,5,4,16456,0.005229888162515533
hall,6,5,3802,0.0012083151916555698
hall,7,6,1444,0.00045891823691495076
hall,8,7,433,0.00013761190899181
hall,9,8,428,0.00013602285692493002
hall,10,9,169,5.370995986054479e-05
hall,11,10,169,5.370995986054479e-05
hall,12,11,82,2.6060453896832383e-05
hall,13,12,79,2.510702265670437e-05
hall,14,14,41,1.3030226948416191e-05
hall,15,21,36,1.1441174881536169e-05
hall,16,18,32,1.016993322803215e-05
hall,17,13,31,9.852122814656145e-06
hall,18,16,31,9.852122814656145e-06
hall,19,22,31,9.852122814656145e-06
hall,20,20,23,7.309639507648108e-06
hall,21,19,22,6.991829094272103e-06
hall,22,15,19,6.0383978541440885e-06
hall,23,24,17,5.40277702739208e-06
hall,24,17,15,4.76715620064007e-06
hall,25,23,11,3.4959145471360515e-06
hall,26,26,10,3.1781041337600467e-06
hall,27,33,9,2.8602937203840422e-06
hall,28,27,9,2.8602937203840422e-06
hall,29,30,8,2.5424833070080374e-06
hall,30,32,7,2.2246728936320326e-06
bath,1,2,1423610,0.45243808258621404
bath,2,1,880599,0.27986353220849636
bath,3,3,353342,0.11229576708310425
bath,4,4,178522,0.056736150616711105
bath,5,0,151067,0.0480106657174729
bath,6,5,93469,0.02970542152784178
bath,7,6,34237,0.010880875122754272
bath,8,7,11787,0.003746031342462967
bath,9,8,6192,0.001967882079624221
bath,10,9,2838,0.0009019459531611013
bath,11,10,2189,0.0006956869948800742
bath,12,11,1284,0.00040806857077479
bath,13,12,1107,0.0003518161276072372
bath,14,14,680,0.00021611108109568318
bath,15,13,674,0.00021420421861542715
bath,16,16,601,0.00019100405843897882
bath,17,15,570,0.00018115193562432267
bath,18,18,387,0.00012299262997651382
bath,19,20,380,0.00012076795708288178
bath,20,17,310,9.852122814656144e-05
bath,21,19,274,8.708005326502528e-05
bath,22,21,265,8.421975954464124e-05
bath,23,22,194,6.165522019494491e-05
bath,24,24,173,5.498120151404881e-05
bath,25,23,142,4.5129078699392666e-05
bath,26,25,109,3.464133505798451e-05
bath,27,27,103,3.2734472577728484e-05
bath,28,30,102,3.241666216435248e-05
bath,29,28,96,3.050979968409645e-05
bath,30,26,96,3.050979968409645e-05
partition,1,有,2987524,0.949466237410735
partition,2,無,159006,0.050533762589265
elevator,1,<PANDAS_NA>,3146530,1.0
building_type,1,住宅大樓(11層含以上有電梯),1360259,0.43230447508843073
building_type,2,透天厝,773891,0.24595061861796963
building_type,3,華廈(10層含以下有電梯),483212,0.15356980546824597
building_type,4,公寓(5樓含以下無電梯),342775,0.10893746444496
building_type,5,套房(1房1廳1衛),98484,0.03129924075092244
building_type,6,店面(店鋪),34743,0.011041687191922531
building_type,7,辦公商業大樓,18440,0.005860424022653526
building_type,8,農舍,9899,0.0031460052820090705
building_type,9,其他,9390,0.002984239781600684
building_type,10,廠辦,9007,0.002862518393277674
building_type,11,工廠,6038,0.0019189392759643162
building_type,12,倉庫,392,0.00012458168204339384
usage,1,住家用,2677666,0.850990138342873
usage,2,住商用,154634,0.04914429546198511
usage,3,商業用,101198,0.03216177821282492
usage,4,辦公用,62326,0.019807851824072867
usage,5,其他,43016,0.013670932741782217
usage,6,見其他登記事項,34448,0.010947933119976608
usage,7,工業用,27900,0.00886691053319053
usage,8,農業用,17974,0.005712324370020308
usage,9,<BLANK_STRING>,16946,0.005385615265069775
usage,10,商辦用,4074,0.0012947596240938432
usage,11,住工用,2130,0.00067693618049089
usage,12,工商用,1773,0.0005634778629156563
usage,13,見其它登記事項,725,0.0002304125496976034
usage,14,住商辦用,618,0.00019640683546637088
usage,15,國民住宅,609,0.00019354654174598684
usage,16,農舍,299,9.50253135994254e-05
usage,17,住辦用,119,3.7819439191744555e-05
usage,18,集合住宅,14,4.449345787264065e-06
usage,19,見使用執照,12,3.8137249605120563e-06
usage,20,住宅,9,2.8602937203840422e-06
usage,21,Ｈ２集合住宅,4,1.2712416535040187e-06
usage,22,廠房,3,9.534312401280141e-07
usage,23,停車空間,2,6.356208267520094e-07
usage,24,停車空間，住房,2,6.356208267520094e-07
usage,25,店舖、集合住宅,2,6.356208267520094e-07
usage,26,店鋪、集合住宅,2,6.356208267520094e-07
usage,27,住宅、樓梯間,2,6.356208267520094e-07
usage,28,市場攤位,1,3.178104133760047e-07
usage,29,工商辦用,1,3.178104133760047e-07
usage,30,住宅．外廊．樓梯間,1,3.178104133760047e-07
note_yn,1,N,2093131,0.66521882836013
note_yn,2,Y,1053399,0.33478117163987
