column_name,rank,value,row_count,row_share
type,1,房地(土地+建物),1813394,0.4139972348345101
type,2,房地(土地+建物)+車位,1333136,0.3043544964074765
type,3,土地,1148611,0.2622275015250417
type,4,車位,61462,0.014031753743201236
type,5,建物,23603,0.005388556890449038
type,6,<BLANK_STRING>,2,4.565993213107688e-07
trans_num,1,土地1建物1車位0,1226262,0.279955198474593
trans_num,2,土地1建物1車位1,951923,0.21732369787005548
trans_num,3,土地1建物0車位0,751361,0.17153546132969028
trans_num,4,土地2建物1車位0,341164,0.07788762542783356
trans_num,5,土地2建物0車位0,204244,0.046628835890898335
trans_num,6,土地1建物1車位2,140465,0.03206811183395857
trans_num,7,土地2建物1車位1,113557,0.025925024565043486
trans_num,8,土地3建物1車位0,112902,0.02577548828731421
trans_num,9,土地3建物0車位0,79046,0.018046174976165515
trans_num,10,土地4建物1車位0,45169,0.010312067372143059
trans_num,11,土地4建物0車位0,40091,0.009152761695335016
trans_num,12,土地0建物0車位1,35139,0.008022221775769552
trans_num,13,土地3建物1車位1,31594,0.007212899478746215
trans_num,14,土地0建物1車位0,21354,0.004875110953635078
trans_num,15,土地5建物0車位0,21349,0.0048739694553318015
trans_num,16,土地5建物1車位0,19214,0.004386549679832556
trans_num,17,土地2建物1車位2,17274,0.00394364833816111
trans_num,18,土地1建物1車位3,17184,0.003923101368702125
trans_num,19,土地1建物2車位0,17127,0.0039100882880447685
trans_num,20,土地1建物2車位1,14369,0.0032804378239572186
trans_num,21,土地6建物0車位0,13825,0.0031562428085606894
trans_num,22,土地4建物1車位1,10681,0.002438468675460161
trans_num,23,土地6建物1車位0,10537,0.0024055935243257856
trans_num,24,土地2建物2車位0,8754,0.001998535229377235
trans_num,25,土地7建物0車位0,8490,0.0019382641189642136
trans_num,26,土地0建物1車位1,8025,0.00183210477675946
trans_num,27,土地8建物0車位0,5979,0.0013650036710585434
trans_num,28,土地5建物1車位1,5881,0.0013426303043143158
trans_num,29,土地7建物1車位0,5752,0.0013131796480897711
trans_num,30,土地8建物1車位0,4347,0.000992418624868956
story,1,<PANDAS_NA>,1188743,0.2713896235064636
story,2,5.0,681183,0.15551384774421673
story,3,4.0,618687,0.14124603215189782
story,4,2.0,444211,0.10141322055938896
story,5,3.0,405717,0.09262505342212059
story,6,7.0,205224,0.04685256955834061
story,7,9.0,124745,0.02847924116845593
story,8,1.0,123098,0.02810323162735651
story,9,8.0,110735,0.02528076292267399
story,10,6.0,108617,0.024797224241405888
story,11,10.0,85119,0.019432638815325663
story,12,24.0,57309,0.013083625252499424
story,13,22.0,37310,0.008517860339052392
story,14,23.0,36538,0.008341613001026435
story,15,21.0,32722,0.007470421495965489
story,16,29.0,23112,0.0052764617570672445
story,17,26.0,19138,0.004369198905622746
story,18,27.0,18760,0.0042829016338950116
story,19,28.0,18653,0.0042584735702048855
story,20,25.0,17315,0.003953008624247981
story,21,32.0,4281,0.0009773508472657006
story,22,35.0,3311,0.0007559001764299777
story,23,31.0,2223,0.0005075101456369195
story,24,36.0,2153,0.0004915291693910426
story,25,33.0,2128,0.000485821677874658
story,26,37.0,1932,0.00044107494438620266
story,27,41.0,1626,0.000371215248225655
story,28,34.0,1297,0.00029610465987003356
story,29,38.0,1246,0.00028446137717660897
story,30,39.0,1088,0.00024839003079305823
building_type,1,住宅大樓(11層含以上有電梯),1367071,0.312101845391817
building_type,2,其他,1217595,0.2779765253156928
building_type,3,透天厝,785475,0.17932367595328808
building_type,4,華廈(10層含以下有電梯),485325,0.11079953280757443
building_type,5,公寓(5樓含以下無電梯),345085,0.07878278839726333
building_type,6,套房(1房1廳1衛),98984,0.022598013610312568
building_type,7,店面(店鋪),35328,0.00806537041163342
building_type,8,辦公商業大樓,18820,0.004296599613534334
building_type,9,農舍,10063,0.002297379485175133
building_type,10,廠辦,9373,0.002139852719322918
building_type,11,工廠,6582,0.00150266836643374
building_type,12,倉庫,507,0.00011574792795227989
usage,1,住家用,2695878,0.6154680325683164
usage,2,<BLANK_STRING>,1197618,0.27341578299478014
usage,3,住商用,156660,0.03576542483827252
usage,4,商業用,105162,0.024008448913841535
usage,5,辦公用,63234,0.014436300741882577
usage,6,見其他登記事項,45429,0.010371425283913459
usage,7,其他,44139,0.010076918721668012
usage,8,工業用,28950,0.006609275175973379
usage,9,農業用,18189,0.004152542527660787
usage,10,停車空間,5237,0.0011956053228522482
usage,11,商辦用,4098,0.0009355720093657653
usage,12,見使用執照,3980,0.00090863264940843
usage,13,住工用,2191,0.0005002045564959473
usage,14,工商用,1805,0.00041208088748296884
usage,15,見其它登記事項,862,0.00019679430748494134
usage,16,住商辦用,638,0.00014565518349813524
usage,17,一般事務所,618,0.00014108919028502757
usage,18,國民住宅,612,0.00013971939232109524
usage,19,辦公室,611,0.00013949109266043986
usage,20,農舍,358,8.173127851462761e-05
usage,21,防空避難室兼停車場,336,7.670868598020916e-05
usage,22,管理員室,325,7.419738971299993e-05
usage,23,停車場,244,5.570511719991379e-05
usage,24,集合住宅,196,4.4746733488455345e-05
usage,25,一般零售業,191,4.360523518517842e-05
usage,26,一般零售業甲組,126,2.8765757242578436e-05
usage,27,住辦用,120,2.739595927864613e-05
usage,28,防空避難室、停車場,77,1.7579073870464598e-05
usage,29,管理室,75,1.712247454915383e-05
usage,30,店舖,71,1.620927590653229e-05
