year_raw,row_count,row_share
1.0,2,4.565993213107688e-07
2.0,2,4.565993213107688e-07
3.0,3,6.848989819661532e-07
9.0,2,4.565993213107688e-07
10.0,10,2.282996606553844e-06
11.0,32,7.305589140972301e-06
12.0,3,6.848989819661532e-07
13.0,5,1.141498303276922e-06
14.0,8,1.8263972852430752e-06
15.0,4,9.131986426215376e-07
16.0,2,4.565993213107688e-07
17.0,1,2.282996606553844e-07
18.0,3,6.848989819661532e-07
21.0,1,2.282996606553844e-07
42.0,1,2.282996606553844e-07
47.0,1,2.282996606553844e-07
53.0,1,2.282996606553844e-07
55.0,1,2.282996606553844e-07
56.0,1,2.282996606553844e-07
59.0,1,2.282996606553844e-07
60.0,2,4.565993213107688e-07
62.0,8,1.8263972852430752e-06
63.0,4,9.131986426215376e-07
64.0,3,6.848989819661532e-07
65.0,5,1.141498303276922e-06
66.0,5,1.141498303276922e-06
67.0,8,1.8263972852430752e-06
68.0,9,2.0546969458984595e-06
69.0,4,9.131986426215376e-07
70.0,10,2.282996606553844e-06
71.0,5,1.141498303276922e-06
72.0,7,1.5980976245876908e-06
73.0,1,2.282996606553844e-07
74.0,4,9.131986426215376e-07
75.0,5,1.141498303276922e-06
76.0,11,2.5112962672092283e-06
77.0,14,3.1961952491753816e-06
78.0,11,2.5112962672092283e-06
79.0,9,2.0546969458984595e-06
80.0,16,3.6527945704861503e-06
81.0,19,4.337693552452304e-06
82.0,18,4.109393891796919e-06
83.0,5,1.141498303276922e-06
84.0,14,3.1961952491753816e-06
85.0,11,2.5112962672092283e-06
86.0,9,2.0546969458984595e-06
87.0,14,3.1961952491753816e-06
88.0,11,2.5112962672092283e-06
89.0,8,1.8263972852430752e-06
90.0,5,1.141498303276922e-06
91.0,17,3.881094231141535e-06
92.0,43,9.81688540818153e-06
93.0,29,6.620690159006147e-06
94.0,27,6.164090837695379e-06
95.0,55,1.2556481336046141e-05
96.0,60,1.3697979639323065e-05
97.0,146,3.333175045568612e-05
98.0,592,0.00013515339910798757
99.0,3141,0.0007170892341185624
100.0,5792,0.0013223116345159865
101.0,185788,0.04241533735384256
102.0,446028,0.1018280410427998
103.0,368913,0.08422271271135982
104.0,307230,0.07014050474315375
105.0,277745,0.06340908924872975
106.0,311617,0.07114205535444892
107.0,330504,0.07545395104524717
108.0,384906,0.08787390918422139
109.0,441861,0.1008767163568488
110.0,424781,0.09697735815285484
111.0,321964,0.07350427194325018
112.0,310206,0.07081992453326418
113.0,258312,0.058972541943213656
117.0,1,2.282996606553844e-07
118.0,1,2.282996606553844e-07
119.0,1,2.282996606553844e-07
120.0,1,2.282996606553844e-07
122.0,1,2.282996606553844e-07
130.0,1,2.282996606553844e-07
190.0,1,2.282996606553844e-07
